symbol,name,exchange
0129K0.KQ,신한제18호스팩,코스닥
0011T0.KQ,채비,코스닥
0070X0.KS,에스테크엠,코넥스
0131D0.KQ,키움히어로제2호스팩,코스닥
0010F0.KQ,보원케미칼,코스닥
0132G0.KQ,교보20호스팩,코스닥
0007J0.KQ,인벤테라,코스닥
0130D0.KQ,신한제17호스팩,코스닥
394420.KQ,리센스메디컬,코스닥
0130H0.KQ,엔에이치스팩33호,코스닥
0088M0.KQ,메쥬,코스닥
408470.KQ,한패스,코스닥
493280.KQ,아이엠바이오로직스,코스닥
0082N0.KQ,카나프테라퓨틱스,코스닥
0011A0.KQ,액스비스,코스닥
458350.KQ,에스팀,코스닥
279570.KS,케이뱅크,유가
0001A0.KQ,덕양에너젠,코스닥
0115H0.KQ,삼성스팩13호,코스닥
0004V0.KQ,엔비알모션,코스닥
493330.KQ,지에프아이,코스닥
012210.KQ,삼미금속,코스닥
490470.KQ,세미파이브,코스닥
491000.KQ,리브스메드,코스닥
0097F0.KQ,미래에셋비전스팩10호,코스닥
0099W0.KQ,미래에셋비전스팩11호,코스닥
0013V0.KQ,삼진식품,코스닥
059180.KS,엔더블유시,코넥스
0101C0.KQ,하나36호스팩,코스닥
0099X0.KQ,IBKS제25호스팩,코스닥
476830.KQ,알지노믹스,코스닥
478340.KQ,나라스페이스테크놀로지,코스닥
0007C0.KQ,아크릴,코스닥
0088D0.KQ,메리츠제1호스팩,코스닥
217590.KS,티엠씨,유가
0098T0.KQ,교보19호스팩,코스닥
464490.KQ,쿼드메디슨,코스닥
466690.KQ,키움히어로제1호스팩,코스닥
0105P0.KQ,유진스팩12호,코스닥
261520.KQ,이지스,코스닥
0015S0.KQ,페스카로,코스닥
950250.KQ,테라뷰,코스닥
0054V0.KQ,엔에이치스팩32호,코스닥
0009K0.KQ,에임드바이오,코스닥
0096D0.KQ,미래에셋비전스팩9호,코스닥
0096B0.KQ,삼성스팩12호,코스닥
0093G0.KQ,미래에셋비전스팩8호,코스닥
0015N0.KQ,아로마티카,코스닥
0126Z0.KS,삼성에피스홀딩스,유가
0120G0.KS,삼양바이오팜,유가
0091W0.KQ,신영스팩11호,코스닥
0068Y0.KQ,비엔케이제3호스팩,코스닥
